"Name","School","Rating"
"Georgia Woolley","Syracuse Orange",84.9
"Zada Porter","App State Mountaineers",84.9
"Elle Ladine","Washington Huskies",84.9
"Kenley McCarn","UT Martin Skyhawks",84.9
"Sabou Gueye","Florida A&M Rattlers",84.9
"Evangelia Paulk","Wofford Terriers",84.9
"Nevaeh Jackson","Valparaiso Beacons",84.9
"Truitt Reilly","San Diego Toreros",84.9
"Cheyanne Bonilla","Sul Ross State Lobos",84.9
"Tahlia White","Utah Valley Wolverines",84.8
"Madison Hayes","NC State Wolfpack",84.8
"Emily Isaacson","Utah Tech Trailblazers",84.8
"Laniah Randle","Missouri Tigers",84.8
"Temira Poindexter","Kansas State Wildcats",84.8
"Azzi Fudd","UConn Huskies",84.7
"Anna Gret Asi","Oklahoma State Cowgirls",84.7
"Koi Sims","Loyola Maryland Greyhounds",84.7
"Madison Smith","Air Force Falcons",84.7
"Teya Sidberry","Boston College Eagles",84.7
"Kendra Parra","Weber State Wildcats",84.7
"Alisha Wilson","Alabama A&M Bulldogs",84.7
"Jailyn Banks","Belmont Bruins",84.7
"Fanta Kone","Sam Houston Bearkats",84.7
"Samiyah Nasir","Shepherd Rams",84.7
"Adia Dormu","Paine Lions",84.7
"Amaya Staton","Wright State Raiders",84.6
"Cali Clark","San Diego State Aztecs",84.6
"Teneisia Brown","Fairleigh Dickinson Knights",84.6
"Emma Koons","Ohio Christian Trailblazers",84.6
"Jakayla Johnson","UL Monroe Warhawks",84.6
"Jaidynn Mason","Marquette Golden Eagles",84.6
"Kade Hackerott","UT Rio Grande Valley Vaqueros",84.6
"Morgan Maly","Creighton Bluejays",84.5
"Maye Toure","Utah Utes",84.5
"Jaaucklyn Moore","North Texas Mean Green",84.5
"Morgan Callahan","North Carolina Central Eagles",84.5
"Jade Upshaw","Central Arkansas Sugar Bears",84.5
"Veronica Sheffey","San Diego State Aztecs",84.5
"Jayla Murray","Wichita State Shockers",84.5
"Sydney Parrish","Indiana Hoosiers",84.4
"Delanie Crawford","Tulsa Golden Hurricane",84.4
"Jayda Curry","Louisville Cardinals",84.4
"Elena Rodriguez","Harvard Crimson",84.4
"Marina Asensio","Western Michigan Broncos",84.4
"Oluchi Okananwa","Duke Blue Devils",84.4
"Angeliki Ziaka","San Francisco Dons",84.4
"Rory Hetrick","Cal State San Marcos Cougars",84.4
"Jordan Durant","Johnson & Wales (NC) Wildcats",84.3
"Mack Konig","Montana Lady Griz",84.3
"Theryn Hallock","Michigan State Spartans",84.3
"Mya Babbitt","Kent State Golden Flashes",84.3
"Kendall Sneed","Tulane Green Wave",84.3
"Candy Edokpaigbe","Seattle U Redhawks",84.3
"Molly Masingale","Wofford Terriers",84.3
"Brianne Foley","Johnson & Wales (RI) Griffins",84.3
"Jaddan Simmons","Michigan State Spartans",84.2
"Anna Walker","Tennessee Tech Golden Eagles",84.2
"Kayba Laube","Northern Iowa Panthers",84.2
"Mackenzie Egger","Yale Bulldogs",84.2
"Laura Erikstrup","Grand Canyon Lopes",84.1
"Anna Olson","Vermont Catamounts",84.1
"Nyah Moran","Northern Arizona Lumberjacks",84.1
"Emma Trawally Porta","San Francisco Dons",84.1
"Lauryn Taylor","Florida Gulf Coast Eagles",84.1
"Rachel Ullstrom","Richmond Spiders",84.1
"Taleyah Jones","Oral Roberts Golden Eagles",84.1
"Bailey Tabeling","Ohio Bobcats",84.1
"Rolanda Robinson","Adelphi Panthers",84.1
"Liz Freihofer","Eastern Kentucky Colonels",84.1
"Imani Rothschild","Dillard Blue Devils",84.1
"A'Vyonna Kinsey","Miami (OH)-Hamilton Harriers",84.1
"Kaylene Smikle","Maryland Terrapins",84
"Shay Ciezki","Indiana Hoosiers",84
"Molly Kaiser","New Mexico State Aggies",84
"Mickayla Perdue","Cleveland State Vikings",84
"Ariel Jenkins","Georgetown Hoyas",84
"Sherese Pittman","Tulane Green Wave",84
"Chance Gray","Ohio State Buckeyes",84
"Rashunda Jones","Purdue Boilermakers",84
"Riley Weiss","Columbia Lions",84
"Avery Waddington","Montana Lady Griz",84
"Sophia Gregory","Youngstown State Penguins",84
"Silkiari Vazquez-Troche","Tennessee Southern Firehawks",84
"Keeley Carter","Tennessee Tech Golden Eagles",83.9
"Kayla Cooper","Southern Illinois Salukis",83.9
"Savannah Brooks","Coastal Carolina Chanticleers",83.9
"Mady Cartwright","Tulsa Golden Hurricane",83.9
"Destini Lombard","Purdue Boilermakers",83.8
"Rachel Loobie","Long Beach State Beach",83.8
"Haleigh Timmer","South Dakota State Jackrabbits",83.8
"Mikyla Tolivert","Georgia State Panthers",83.8
"Astera Tuhina","Washington State Cougars",83.8
"Emily La Chapell","Belmont Bruins",83.8
"Rachel Leggett","South Alabama Jaguars",83.8
"Eleonora Villa","Washington State Cougars",83.8
"Taylor Smith","Weber State Wildcats",83.8
"Elyce Knudsen","Illinois State Redbirds",83.8
"Carlie Latta","Utah State Aggies",83.8
"Alli Campbell","Penn State Lady Lions",83.7
"Paige Allen","Texas A&M-Corpus Christi Islanders",83.7
"Raven Preston","Elon Phoenix",83.7
"Sophie Burrows","Syracuse Orange",83.7
"Alexus Mobley","Akron Zips",83.7
"Mya Skoff","Lindenwood Lions",83.7
"Syla Swords","Michigan Wolverines",83.7
"Dazia Lawrence","Kentucky Wildcats",83.6
"Soleil Barnes","Bradley Braves",83.6
"Jaydia Martin","Sacramento State Hornets",83.6
"Emaia O'Brien","Detroit Mercy Titans",83.6
"Taylor Golembiewski","Colgate Raiders",83.6
"Chloe Kitts","South Carolina Gamecocks",83.6
"Kylee Fox","Fresno State Bulldogs",83.6
"Hannah Stuelke","Iowa Hawkeyes",83.5
"Cheyenne McEvans","Florida A&M Rattlers",83.5
"Mary-Anna Asare","VCU Rams",83.5
"Ines Gimenez Monserrat","Manhattan Jaspers",83.5
"Jada Eads","Seton Hall Pirates",83.5
"Ava Cirigliano","Misericordia Cougars",83.5
"Tara Cousins","Delaware Blue Hens",83.4
"Emma Calvert","BYU Cougars",83.4
"Dolly Cairns","Florida Gulf Coast Eagles",83.4
"Jadyn Weltz","Binghamton Bearcats",83.4
"Matilda Ekh","Virginia Tech Hokies",83.4
"Bailey Butler","Green Bay Phoenix",83.4
"Paris Clark","Virginia Cavaliers",83.4
"Dominique Ennis","Rice Owls",83.4
"Damaris Rodriguez","Monmouth Hawks",83.4
"Camryn Runner","Evansville Purple Aces",83.4
"Emma Hess","Liberty Flames",83.3
"Haleigh Releford","Asbury Eagles",83.3
"Bella Fontleroy","Baylor Bears",83.3
"Bree Stephens","Central Arkansas Sugar Bears",83.3
"Skye Belker","Princeton Tigers",83.3
"Sarina Nagra","UC Merced Bobcats",83.3
"Kishyah Anderson","Presbyterian Blue Hose",83.3
"McKelle Meek","Portland Pilots",83.2
"Patricia Chung","Long Beach State Beach",83.2
"Nyla Jean","Southern Miss Lady Eagles",83.2
"Sakyia White","UL Monroe Warhawks",83.2
"Tajianna Roberts","Louisville Cardinals",83.2
"Destiny Jones","West Georgia Wolves",83.2
"Vernell Atamah","Northwestern State Lady Demons",83.2
"Mahogany Matthews","Georgia State Panthers",83.1
"Dontavia Waggoner","Boston College Eagles",83.1
"Hope Sivori","Bellarmine Knights",83.1
"Talya Brugler","Saint Joseph's Hawks",83.1
"Dani Bartsch","Montana Lady Griz",83.1
"Jordyn Weaver","Queens University Royals",83.1
"Jaylin Foster","Texas State Bobcats",83.1
"Ivy Wolf","Dayton Flyers",83.1
"Catarina Ferreira","Oregon State Beavers",83.1
"Emma Johansson","California Baptist Lancers",83.1
"Althea Kara Angeles","Eastern Kentucky Colonels",83.1
"Ashlynn Shade","UConn Huskies",83.1
"Keslyn Secrist","Indiana State Sycamores",83.1
"Jalei Oglesby","Oral Roberts Golden Eagles",83.1
"Jessenia Lawson","Central Michigan Chippewas",83.1
"Angela Dugalic","UCLA Bruins",83
"Carleigh Wenzel","Virginia Tech Hokies",83
"Belle Lanpher","Central Connecticut Blue Devils",83
"Mar'shaun Bostic","Auburn Tigers",83
"Freja Werth","San Francisco Dons",83
"Shelbee Brown","Akron Zips",83
"Acacia Hayes","Western Kentucky Lady Toppers",83
"Jorja Elliott","Incarnate Word Cardinals",83
"Reese Ericson","Army Black Knights",83
"Jenna Van Schaik","Mercyhurst Lakers",83
"Malea Brown","Longwood Lancers",83
"Brooke Carlson","Colorado State Rams",83
"Gabby Elliott","Penn State Lady Lions",82.9
"Jasha Clinton","Hampton Lady Pirates",82.9
"Mallory Brake","Creighton Bluejays",82.9
"Helen Matthews","Wofford Terriers",82.9
"Kyah Watson","West Virginia Mountaineers",82.9
"Tyi Skinner","Arizona State Sun Devils",82.9
"Katelynn Martin","Montana State Bobcats",82.9
"Khera Goss","Toledo Rockets",82.9
"Prencis Harden","Kennesaw State Owls",82.9
"Ella Wanzer","Delaware Blue Hens",82.9
"Kaitlyn Chen","UConn Huskies",82.9
"Raegan Beers","Oklahoma Sooners",82.9
"Ashlon Jackson","Duke Blue Devils",82.9
"Chazadi Wright","Georgia Tech Yellow Jackets",82.9
"Jewel Spear","Tennessee Lady Volunteers",82.8
"Avyonce Carter","Western Carolina Catamounts",82.8
"Colleen McQuillen","Lehigh Mountain Hawks",82.8
"Stina Almqvist","Pennsylvania Quakers",82.8
"Jo Raflo","Mount St. Mary's Mountaineers",82.8
"Judith Gomez","Iona Gaels",82.8
